,Brand,Model Name,Screen Size,RAM,Storage,CPU,Operating System,Price,Rating,Review Count,Graphic Card Description
69,Lenovo,E14 Gen 5 AMD,14 Inches,16 GB,512 GB,Ryzen 5,Windows 11 Home,"50,690",3.7,106 ratings,Integrated
70,Lenovo,IdeaPad 1 14IGL7,14 Inches,8 GB,512 GB,Celeron N4020,Windows 11 Home,"23,990",3.7,252 ratings,Integrated
71,Lenovo,Yoga Slim 7,15.3 Inches,32 GB,1 TB,No CPU,Windows 11 Home,"1,47,990",5.0,3 ratings,Integrated
72,Lenovo,Yoga Slim 7,15.3 Inches,32 GB,1 TB,No CPU,Windows 11 Home,"1,47,990",5.0,3 ratings,Integrated
73,Lenovo,IdeaPad,15.6,8 GB,512 GB,Core i3,Windows 11,"36,190",4.0,456 ratings,Integrated
74,Lenovo,ThinkBook 15 G5,15.6 Inches,8 GB,512 GB,Ryzen 7,Windows 11 Home,"49,900",3.6,27 ratings,Integrated
75,ASUS,TUF Gaming,15.6 Inches,16 GB,No storage,AMD Ryzen 7,Windows 11 Home,"66,990",4.0,404 ratings,Dedicated
76,ASUS,Vivobook Go 15 (OLED) 2023,15.6 Inches,16 GB,512 GB,Ryzen 5,Windows 11 Home,"48,500",4.2,67 ratings,Integrated
77,Dyazo,No model name,No screen size,No RAM,No storage,No CPU,No operating system,399,4.3,"12,282 ratings",No graphic card description
78,HP,250,15.6 Inches,16 GB,512 GB,Core i3-1215U,DOS,"34,701",2.9,12 ratings,Integrated
79,HP,HP Victus,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"99,800",3.5,9 ratings,Dedicated
80,Lenovo,IdeaPad 3,14 Inches,,512 GB,Core i3,"Windows 11 Home 64, English","35,990",4.0,456 ratings,Integrated
81,acer,TMP214-53,14 Inches,16 GB,No storage,Core i7,Windows 11 Home,"41,990",3.2,20 ratings,Integrated
82,Lenovo,IdeaPad Slim 5 14ABR8,14 Inches,16 GB,1 TB,Ryzen 7,Windows 11 Home,"64,990",4.0,77 ratings,Integrated
83,Lenovo,ThinkBook 14 G6,14 Inches,8 GB,No storage,Core i3,Windows 11 Home,"43,990",4.1,15 ratings,Integrated
84,Lenovo,Lenovo Thinkpad W540,15.6 Inches,16 GB,No storage,Core i7-4810MQ,Windows,No price,No rating,No review count,Dedicated
85,ASUS,ASUS Vivobook 16,40.64 Centimetres,16 GB,512 GB,Core i9,Windows 11 Home,"94,990",3.6,64 ratings,Integrated
86,ASUS,TUF Gaming,17.3 Inches,,512 GB,Core i5,Windows 11 Home,"53,250",3.8,120 ratings,Dedicated
87,Lenovo,IdeaPad,14 Inches,16 GB,512 GB,Intel Core i5,Windows 11 Home,"49,900",3.8,88 ratings,Integrated
88,Lenovo,IdeaPad,14 Inches,32 GB,1 TB,Core i9,Windows 11 Home,"1,05,990",4.2,91 ratings,Integrated
89,ASUS,ASUS Vivobook 16,40.64 Centimetres,16 GB,512 GB,Core i9,Windows 11 Home,"94,990",4.2,36 ratings,Integrated
90,amazon basics,No model name,No screen size,No RAM,No storage,No CPU,No operating system,279,4.1,"2,315 ratings",No graphic card description
91,Acer,Aspire Lite,15.6 Inches,8 GB,No storage,Core i3,Windows 11 Home,"32,990",No rating,No review count,Integrated
92,Acer,Aspire 3,15.6 Inches,16 GB,No storage,Ryzen 7,Windows 11 Home,"41,990",2.6,3 ratings,Integrated
93,Lenovo,IdeaPad,14 Inches,32 GB,1 TB,Core i9,Windows 11 Home,"1,05,990",4.2,91 ratings,Integrated
94,Lenovo,E14 Gen 5 AMD,14 Inches,8 GB,512 GB,Ryzen 5,Windows 11 Home,"47,990",4.2,130 ratings,Integrated
95,AROPANA,No model name,No screen size,No RAM,No storage,No CPU,No operating system,599,4.5,"1,185 ratings",No graphic card description
96,AROPANA,No model name,No screen size,No RAM,No storage,No CPU,No operating system,599,4.5,"1,185 ratings",No graphic card description
